user1,"Love the UI, great work!",2025-04-16T23:26:43.095676
user3,More campaigns would be helpful.,2025-04-16T23:26:43.095676
user2,"The website is easy to navigate, but it could use a dark mode option.",2025-04-16T23:27:43.095676
user4,"I like the responsive design, but some pages take longer to load.",2025-04-16T23:28:43.095676
user5,"It would be great to see more detailed impact reports on the homepage.",2025-04-16T23:29:43.095676
user6,"A search feature would be helpful to find specific programs.",2025-04-16T23:30:43.095676
user7,"The donation process is smooth, but it would be nice to add more payment options.",2025-04-16T23:31:43.095676
user8,"I love the clean layout, but the font size could be a bit larger for readability.",2025-04-16T23:32:43.095676
user9,"Would love to see more interactive content like videos or success stories.",2025-04-16T23:33:43.095676
user10,"The site looks great on mobile, but there's a slight issue with the navigation menu.",2025-04-16T23:34:43.095676
user11,"Everything is easy to find, but a FAQ section could be useful for new users.",2025-04-16T23:35:43.095676
user12,"The event calendar is helpful, but integrating with Google Calendar would make it more user-friendly.",2025-04-16T23:36:43.095676
user13,"Really like the clean design, but more images of the community would make it more engaging.",2025-04-16T23:37:43.095676
user14,"I think adding testimonials from volunteers could help build trust with new visitors.",2025-04-16T23:38:43.095676
user15,"Great site overall! Just wish there was a more visible contact us section.",2025-04-16T23:39:43.095676
user16,"It would be helpful to have a progress tracker for ongoing projects or donations.",2025-04-16T23:40:43.095676
user17,"I appreciate the transparency, but a bit more information about funding allocation would be great.",2025-04-16T23:41:43.095676
user18,"The loading speed is good, but there’s a minor issue with the responsiveness of some images.",2025-04-16T23:42:43.095676
user19,"More volunteer opportunities listed on the homepage would be nice.",2025-04-16T23:43:43.095676
user20,"I would love to see more ways to get involved aside from donations, like hands-on projects.",2025-04-16T23:44:43.095676
